origin,iso3,n2,share_ba_2ndgen,fitted,resid
Mexico,MEX,10174,21.987314478400048,22.610597684554882,-0.6232832061548343
Philippines,PHL,1431,55.43146124768204,56.60051712842135,-1.1690558807393145
Germany,DEU,852,46.60837951257089,53.9245335058123,-7.316153993241407
India,IND,786,84.91338950070508,88.3931065486116,-3.4797170479065187
El Salvador,SLV,735,30.930797020673346,24.95612174262127,5.974675278052075
China,CHN,722,78.44213826350588,75.10386574874718,3.3382725147586996
Vietnam,VNM,721,63.08913755580291,55.13581054842408,7.9533270073788245
Canada,CAN,716,51.67502036089334,56.55822100301709,-4.883200642123747
Korea,KOR,663,65.49107264418545,59.749667937057474,5.741404707127977
United Kingdom,GBR,651,55.661747896908366,60.05692086174969,-4.395172964841322
Cuba,CUB,585,48.15331168415832,48.77442862807706,-0.621116943918743
Dominican Republic,DOM,572,36.95560565037632,44.59116174687257,-7.635556096496252
Japan,JPN,433,61.50164456557605,55.41882983386432,6.0828147317117285
Guatemala,GTM,430,28.179375357036935,28.15379548171805,0.02557987531888628
Columbia,COL,363,48.16988358842004,51.3262232961173,-3.1563397076972564
Italy,ITA,357,65.22019809082605,56.87752585314343,8.342672237682613
Jamaica,JAM,315,50.59354092668876,52.642643001477516,-2.049102074788756
Laos,LAO,302,34.27932232227269,44.15198879801473,-9.872666475742037
Taiwan,TWN,272,83.2761183962688,82.03871447879224,1.2374039174765556
Portugal,PRT,243,59.1227305569616,44.26041935186873,14.862311205092873
Haiti,HTI,242,44.77197640684865,48.21518613282951,-3.443209725980857
Ecuador,ECU,223,45.570721936830594,35.41903341723073,10.151688519599865
Peru,PER,206,44.627694004775584,37.22086399007768,7.406830014697903
Honduras,HND,178,38.50285902403631,27.610175520303876,10.892683503732435
Pakistan,PAK,177,70.24427931774167,72.10420258683769,-1.859923269096015
Iran,IRN,174,71.04903230054893,76.40545376750994,-5.3564214669610095
Hong Kong,HKG,172,83.72611402272308,66.36269127627155,17.363422746451533
Poland,POL,159,68.75028948164494,57.63737007141317,11.112919410231768
Cambodia,KHM,158,39.026897746562675,48.25115565290699,-9.224257906344313
