origin,iso3,n2,wpop2,share_ba_2ndgen,share_lths_2ndgen,med_earn_2ndgen,n1,share_ba_1stgen,share_lths_1stgen,f1adult_n,f1adult_share_ba,f1_med_entry_yr,share_ba_origin,origin_ba_source,bl_ter_1990,selectivity,selectivity_adult,selectivity_bl1990,refugee_dummy,mexcam_dummy,n1pre,share_ba_1stgen_pre2000,selectivity_cohort
Cuba,CUB,585,215284.57,48.15331168415832,3.4636744596543387,60000.0,2473,32.24080808052363,9.010960438245046,1873,32.615078368702065,2006.5,15.33,WB 2019,5.43,16.91080808052363,17.285078368702067,26.81080808052363,1,0,309.0,25.49944165896051,20.06944165896051
Dominican Republic,DOM,572,221621.935,36.95560565037632,5.6677226767588085,55000.0,2388,23.3422595269744,19.918510589405784,1693,20.93042418868716,2000.5,14.36,WB 2019,1.98,8.9822595269744,6.570424188687163,21.3622595269744,0,0,518.0,15.151590053864622,13.171590053864621
Japan,JPN,433,149733.05833333335,61.50164456557605,0.2541022031040016,65000.0,623,68.98746650275862,0.4990948904970497,521,69.29121932129377,2002.5,25.54,WB 2020,13.77,43.44746650275862,43.75121932129377,55.217466502758626,0,0,170.0,63.27370433831581,49.50370433831581
Guatemala,GTM,430,142346.38333333336,28.179375357036935,8.190263117561935,48000.0,2732,9.071649601248064,55.18550059347317,2052,7.922688149269925,2004.5,5.69,WB 2022,2.26,3.381649601248065,2.232688149269925,6.811649601248066,0,1,486.0,9.484325986810202,7.224325986810202
Columbia,COL,363,128464.59666666666,48.16988358842004,1.3714790266859256,52000.0,1823,46.539657433384534,5.263585377253537,1415,45.794933281949326,2002.5,16.2,WB 2022,7.3,30.339657433384534,29.594933281949327,39.23965743338454,0,0,381.0,37.68515909044652,30.385159090446518
Italy,ITA,357,146159.72166666668,65.22019809082605,0.8878164142645182,75000.0,278,45.549834809339025,5.972792299160273,165,53.34357867398354,1994.5,16.49,WB 2022,3.89,29.059834809339023,36.853578673983534,41.659834809339024,0,0,,,
Jamaica,JAM,315,172696.6,50.59354092668876,4.032357903977264,49500.0,1159,35.23374093702799,6.335929262968981,754,33.240024262988285,1998.5,10.95,WB 2022,2.2,24.28374093702799,22.29002426298829,33.033740937027986,0,0,236.0,33.04616079687028,30.846160796870283
Laos,LAO,302,101923.37333333334,34.27932232227269,4.930890565762279,50000.0,360,17.690413509371293,14.470688222268429,171,10.22877464897428,1986.5,5.19,WB 2022,2.31,12.500413509371292,5.03877464897428,15.380413509371293,1,0,105.0,4.194198047408537,1.8841980474085367
Taiwan,TWN,272,102433.915,83.2761183962688,2.1326188694437773,78000.0,603,86.22623390050957,0.680546972338346,386,85.6588199650347,1994.5,8.61,Barro-Lee 2010,5.94,77.61623390050957,77.0488199650347,80.28623390050957,0,0,180.0,77.7656255559102,71.82562555591021
Portugal,PRT,243,77466.05166666667,59.1227305569616,3.034064534634537,70000.0,232,26.566316780529505,18.07583165347629,75,,1982.5,23.12,WB 2022,3.41,3.4463167805295036,,23.156316780529504,0,0,,,
Haiti,HTI,242,127925.54166666666,44.77197640684865,2.384319263842606,46799.0,1058,24.775797585308137,11.570220221416877,772,19.03888464339367,2002.5,4.53,WB 2017,0.56,20.245797585308136,14.508884643393667,24.215797585308135,0,0,239.0,24.175338889075608,23.61533888907561
Ecuador,ECU,223,79377.92833333333,45.570721936830594,3.8932190995074474,50000.0,909,25.379725855378865,20.367160943226303,647,22.513858259518805,2000.5,12.4,WB 2021,7.77,12.979725855378865,10.113858259518803,17.609725855378866,0,0,209.0,15.543897707823312,7.773897707823313
Peru,PER,206,77816.76999999999,44.627694004775584,2.5156338408803145,50000.0,941,39.88452365980647,4.423916874613958,692,38.67084779630727,2000.5,16.27,Barro-Lee 2010,12.41,23.61452365980647,22.40084779630727,27.47452365980647,0,0,209.0,32.005892961103996,19.595892961103996
Honduras,HND,178,58828.35,38.50285902403631,2.948014576872092,50000.0,1870,8.87465511029883,46.8404012805147,1495,8.678343902807738,2006.5,9.63,WB 2019,2.48,-0.7553448897011705,-0.951656097192263,6.39465511029883,0,1,284.0,8.507946685977899,6.0279466859778985
Pakistan,PAK,177,64440.30333333333,70.24427931774167,3.457080767931415,65000.0,867,62.50202034045742,6.483770204734177,666,63.34623317415626,2002.5,9.93,WB 2021,2.16,52.57202034045742,53.41623317415626,60.342020340457424,0,0,208.0,61.190877080688125,59.03087708068813
Iran,IRN,174,75726.68,71.04903230054893,2.579707266536268,70000.0,574,67.20651225363382,1.7580160311411452,428,63.22119547749077,2000.5,17.69,WB 2022,3.92,49.51651225363382,45.53119547749077,63.286512253633816,1,0,128.0,60.88234500509585,56.96234500509585
Hong Kong,HKG,172,61717.435,83.72611402272308,2.2889615119833375,91000.0,351,67.76491187396971,6.814260908564468,201,60.1421290718556,1990.5,14.77,Barro-Lee 2010,7.33,52.99491187396971,45.3721290718556,60.43491187396971,0,0,116.0,58.512840752643726,51.18284075264373
Poland,POL,159,72003.70166666666,68.75028948164494,0.7761985199788687,66000.0,560,48.295429354921275,4.6051399374151485,371,41.976288252704485,1998.5,27.72,WB 2021,4.54,20.575429354921276,14.256288252704486,43.75542935492128,0,0,128.0,39.543590158279414,35.003590158279415
Cambodia,KHM,158,57142.333333333336,39.026897746562675,7.130793282271754,50000.0,273,18.063691510929555,15.435678858665437,171,13.415857399182132,1990.5,4.56,WB 2021,0.22,13.503691510929556,8.855857399182131,17.843691510929556,1,0,86.0,11.891542463481048,11.671542463481048
