origin,iso3,n2,wpop2,share_ba_2ndgen,share_lths_2ndgen,med_earn_2ndgen,n1,share_ba_1stgen,share_lths_1stgen,f1adult_n,f1adult_share_ba,f1_med_entry_yr,share_ba_origin,origin_ba_source,bl_ter_1990,selectivity,selectivity_adult,selectivity_bl1990,refugee_dummy,mexcam_dummy,n1pre,share_ba_1stgen_pre2000,selectivity_cohort
Mexico,MEX,10174,3479439.6366666667,21.987314478400048,10.296790884309168,45000.0,29304,9.866480807231838,45.07994584939944,18964,9.712334490095202,1998.5,16.99,WB 2022,5.59,-7.1235191927681605,-7.277665509904796,4.276480807231838,0,1,7829.0,6.564971916594507,0.974971916594507
Philippines,PHL,1431,459593.11,55.43146124768204,1.065703893312645,60000.0,4099,57.543654805508616,1.9170075487292175,2963,60.85605463995903,2000.5,18.08,WB 2022,8.69,39.46365480550862,42.77605463995903,48.85365480550862,0,0,1036.0,58.37614356707702,49.686143567077025
Germany,DEU,852,306714.61833333335,46.60837951257089,3.4246313583216828,59500.0,469,53.23827565156984,1.718080479297425,357,54.516881451471065,1998.5,29.58,WB 2022,8.48,23.658275651569845,24.936881451471063,44.758275651569846,0,0,144.0,46.19419492480942,37.71419492480942
India,IND,786,292519.77,84.91338950070508,1.019589205885127,89000.0,6640,87.44945564671617,2.312688930475224,5986,88.06692507711698,2008.5,12.14,WB 2022,2.95,75.30945564671617,75.92692507711698,84.49945564671617,0,0,1199.0,82.89294967890645,79.94294967890644
El Salvador,SLV,735,263028.56,30.930797020673342,5.64550797576253,50000.0,3346,10.482241311263932,44.91655250820209,2393,9.718782139519517,2000.5,8.43,WB 2020,4.55,2.0522413112639324,1.2887821395195154,5.932241311263932,0,1,894.0,9.514952339897071,4.964952339897072
China,CHN,722,271799.3666666667,78.44213826350588,3.227629546843437,82000.0,3979,64.60536006962228,8.693467089019741,3406,64.33761434860263,2006.5,7.68,WB 2020,1.34,56.92536006962228,56.65761434860263,63.265360069622275,0,0,869.0,60.970973697370646,59.63097369737064
Vietnam,VNM,721,262669.98,63.08913755580291,2.223034140914517,65000.0,2472,31.719543413114454,15.2436615562156,1561,22.05128180724365,1994.5,11.52,WB 2022,1.76,20.19954341311446,10.531281807243651,29.959543413114456,1,0,638.0,18.143013387758252,16.38301338775825
Canada,CAN,716,238862.71833333335,51.67502036089334,1.462829091837277,70000.0,1070,63.88226597137477,1.0150287151308637,737,67.48258035230795,2000.5,32.35,WB 2022,11.17,31.53226597137477,35.13258035230795,52.71226597137477,0,0,237.0,65.01683972044587,53.84683972044587
Korea,KOR,663,237913.765,65.49107264418545,2.2401015763001353,67000.0,1700,69.27379520415835,1.1201365057646762,1153,67.07492470940008,1998.5,34.54,WB 2022,11.52,34.73379520415835,32.53492470940008,57.75379520415835,0,0,452.0,54.94096004387401,43.420960043874004
United Kingdom,GBR,651,250785.15666666665,55.661747896908366,2.056409585219072,67000.0,967,65.39753069192781,1.869587376192284,750,66.5102385121407,2000.5,39.59,WB 2021,9.85,25.80753069192781,26.9202385121407,55.54753069192781,0,0,258.0,56.39444841457105,46.54444841457105
