origin,iso3,n2,share_ba_2ndgen,fitted,resid
Mexico,MEX,10174,21.987314478400048,23.73531902224124,-1.7480045438411906
Philippines,PHL,1431,55.43146124768204,61.46498700851342,-6.033525760831381
Germany,DEU,852,46.60837951257089,48.66464612719456,-2.0562666146236666
India,IND,786,84.91338950070508,90.49551297454053,-5.582123473835452
El Salvador,SLV,735,30.930797020673346,31.166514512903237,-0.2357174922298917
China,CHN,722,78.44213826350588,75.60674074771896,2.835397515786923
Vietnam,VNM,721,63.08913755580291,45.863514231639684,17.225623324163223
Canada,CAN,716,51.67502036089334,55.04157383060816,-3.366553469714816
Korea,KOR,663,65.49107264418545,57.63440410199867,7.856668542186782
United Kingdom,GBR,651,55.661747896908366,50.405268537421186,5.25647935948718
Cuba,CUB,585,48.15331168415832,43.20005814396276,4.953253540195561
Dominican Republic,DOM,572,36.95560565037632,36.778945231007015,0.17666041936930554
Japan,JPN,433,61.50164456557605,64.69136628326036,-3.1897217176843142
Guatemala,GTM,430,28.179375357036935,32.24316564012453,-4.063790283087595
Columbia,COL,363,48.16988358842004,54.0757130514669,-5.905829463046857
Italy,ITA,357,65.22019809082605,53.039219988197104,12.180978102628941
Jamaica,JAM,315,50.59354092668876,49.171193220137944,1.4223477065508163
Laos,LAO,302,34.27932232227269,39.628201158943874,-5.348878836671183
Taiwan,TWN,272,83.2761183962688,92.36370909300003,-9.087590696731226
Portugal,PRT,243,59.1227305569616,32.2955378059912,26.827192750970397
Haiti,HTI,242,44.77197640684865,45.90097421064403,-1.1289978037953787
Ecuador,ECU,223,45.570721936830594,40.01638301511862,5.554338921711974
Peru,PER,206,44.627694004775584,48.629212595144914,-4.001518590369329
Honduras,HND,178,38.50285902403631,28.89272784343986,9.61013118059645
Pakistan,PAK,177,70.24427931774167,72.08109090643617,-1.836811588694502
Iran,IRN,174,71.04903230054893,69.60651913589932,1.4425131646496112
Hong Kong,HKG,172,83.72611402272308,72.42357910188272,11.302534920840358
Poland,POL,159,68.75028948164494,46.16793389413312,22.58235558751182
Cambodia,KHM,158,39.026897746562675,40.44072835576685,-1.413830609204176
