group,n,wpop,share_ba,share_lths,n_ftfy,med_earn
3+ gen non-Hispanic white,129093,43813989.32,46.99877804538008,3.626037599688415,86164,60000.0
3+ gen non-Hispanic Black,20675,9183995.071666667,27.515401887892597,6.544783727665047,12457,45000.0
3+ gen Hispanic,16324,5259599.6466666665,26.932521297467016,7.962657042387031,9991,49000.0
3+ gen all,174523,60608076.43333334,41.82326973570183,4.519854131453755,113506,55000.0
2nd gen all (25-44),27410,9939548.754999999,44.21913334971446,5.396340768456412,17537,55000.0
1st gen all (25-64),93957,33542514.64666667,37.650433764526994,20.987419053566935,53778,50000.0
