origin,iso3,n2,share_ba_2ndgen,fitted,resid
Mexico,MEX,10174,21.987314478400048,24.712314922650275,-2.7250004442502274
Philippines,PHL,1431,55.43146124768204,62.54907080087334,-7.117609553191301
Germany,DEU,852,46.60837951257089,53.249772861288335,-6.641393348717443
India,IND,786,84.91338950070508,86.05126439872897,-1.1378748980238953
El Salvador,SLV,735,30.930797020673342,27.811561155498644,3.119235865174698
China,CHN,722,78.44213826350588,70.27378973373419,8.168348529771691
Vietnam,VNM,721,63.08913755580291,36.68062288882059,26.40851466698232
Canada,CAN,716,51.67502036089334,65.7809217152399,-14.105901354346557
Korea,KOR,663,65.49107264418545,57.68254405828882,7.808528585896632
United Kingdom,GBR,651,55.661747896908366,60.108736304669776,-4.44698840776141
Cuba,CUB,585,48.15331168415832,39.54408278588258,8.609228898275738
Dominican Republic,DOM,572,36.95560565037632,34.18612652199056,2.769479128385761
Japan,JPN,433,61.50164456557605,62.40735980671414,-0.9057152411380898
Guatemala,GTM,430,28.179375357036935,29.56654602281698,-1.3871706657800438
Columbia,COL,363,48.16988358842004,47.5568911199642,0.6129924684558432
Jamaica,JAM,315,50.59354092668876,47.91497753904189,2.678563387646868
Laos,LAO,302,34.27932232227269,25.418562914313416,8.860759407959275
Taiwan,TWN,272,83.2761183962688,79.74607401180924,3.5300443844595577
Haiti,HTI,242,44.77197640684865,42.298384177518344,2.4735922293303076
Ecuador,ECU,223,45.570721936830594,29.993429843119053,15.577292093711542
Peru,PER,206,44.627694004775584,39.17625040020705,5.4514436045685315
Honduras,HND,178,38.50285902403631,28.63724972364035,9.865609300395963
Pakistan,PAK,177,70.24427931774167,69.80766033426738,0.43661898347428973
Iran,IRN,174,71.04903230054893,68.20091304163304,2.8481192589158866
Hong Kong,HKG,172,83.72611402272308,63.71164119520196,20.014472827521118
Poland,POL,159,68.75028948164494,51.144290949059936,17.605998532585005
Cambodia,KHM,158,39.026897746562675,33.02095367642018,6.0059440701424975
