origin,iso3,n2,share_ba_2ndgen,fitted,resid
Mexico,MEX,10174,21.987314478400048,22.65921205125634,-0.6718975728562917
Philippines,PHL,1431,55.43146124768204,61.76075415919139,-6.329292911509356
Germany,DEU,852,46.60837951257089,53.61165161005797,-7.003272097487077
India,IND,786,84.91338950070508,82.35604930972613,2.557340190978948
El Salvador,SLV,735,30.930797020673342,25.375124106185503,5.55567291448784
China,CHN,722,78.44213826350588,68.53003149131705,9.912106772188835
Vietnam,VNM,721,63.08913755580291,51.41812637127907,11.671011184523834
Canada,CAN,716,51.67502036089334,64.59286951841378,-12.917849157520436
Korea,KOR,663,65.49107264418545,57.49614991260552,7.994922731579933
United Kingdom,GBR,651,55.661747896908366,59.62225551198727,-3.960507615078903
Cuba,CUB,585,48.15331168415832,53.92741562064907,-5.774103936490754
Dominican Republic,DOM,572,36.95560565037632,36.90591640417184,0.04968924620447979
Japan,JPN,433,61.50164456557605,61.63657086801764,-0.13492630244159187
Guatemala,GTM,430,28.179375357036935,26.913041457459514,1.2663338995774218
Columbia,COL,363,48.16988358842004,48.62290112464122,-0.453017536221175
Jamaica,JAM,315,50.59354092668876,48.93669717349073,1.6568437531980322
Laos,LAO,302,34.27932232227269,41.54902848421368,-7.269706161940988
Taiwan,TWN,272,83.2761183962688,76.83072434555875,6.44539405071005
Haiti,HTI,242,44.77197640684865,44.01479924343258,0.757177163416074
Ecuador,ECU,223,45.570721936830594,33.231798700286355,12.33892323654424
Peru,PER,206,44.627694004775584,41.278830518834596,3.3488634859409885
Honduras,HND,178,38.50285902403631,26.098686342727213,12.404172681309099
Pakistan,PAK,177,70.24427931774167,68.12155589433122,2.1227234234104486
Iran,IRN,174,71.04903230054893,79.03978969494844,-7.990757394399509
Hong Kong,HKG,172,83.72611402272308,62.779530568498835,20.946583454224246
Poland,POL,159,68.75028948164494,51.766588882789286,16.983700598855656
Cambodia,KHM,158,39.026897746562675,48.21110795961947,-9.184210213056794
