origin,iso3,n2,share_ba_2ndgen,fitted,resid
Mexico,MEX,10174,21.987314478400048,24.876256548169124,-2.888942069769076
Philippines,PHL,1431,55.43146124768204,60.06972917389787,-4.638267926215832
Germany,DEU,852,46.60837951257089,56.891662382376126,-10.283282869805234
India,IND,786,84.91338950070508,82.14505149257336,2.768338008131721
El Salvador,SLV,735,30.930797020673346,25.33078748247831,5.600009538195035
China,CHN,722,78.44213826350588,65.28241084233173,13.159727421174154
Vietnam,VNM,721,63.08913755580291,41.00735443237392,22.081783123428984
Canada,CAN,716,51.67502036089334,64.74865033980237,-13.073629978909025
Korea,KOR,663,65.49107264418545,68.72847172081886,-3.237399076633409
United Kingdom,GBR,651,55.661747896908366,65.86716100206276,-10.205413105154392
Cuba,CUB,585,48.15331168415832,41.392132141805426,6.761179542352892
Dominican Republic,DOM,572,36.95560565037632,34.82356276855835,2.1320428818179735
Japan,JPN,433,61.50164456557605,68.51711478688993,-7.015470221313883
Guatemala,GTM,430,28.179375357036935,24.289542446975208,3.8898329100617275
Columbia,COL,363,48.16988358842004,51.94699773215098,-3.777114143730941
Italy,ITA,357,65.22019809082605,51.21634839825943,14.003849692566618
Jamaica,JAM,315,50.59354092668876,43.60140110057042,6.99213982611834
Laos,LAO,302,34.27932232227269,30.65158545898588,3.6277368632868097
Taiwan,TWN,272,83.2761183962688,81.24211582273114,2.034002573537663
Portugal,PRT,243,59.1227305569616,37.2034389478989,21.919291609062697
Haiti,HTI,242,44.77197640684865,35.881745923787555,8.890230483061096
Ecuador,ECU,223,45.570721936830594,36.327542753973134,9.24317918285746
Peru,PER,206,44.627694004775584,47.034431641521365,-2.406737636745781
Honduras,HND,178,38.50285902403631,24.144128622219323,14.358730401816988
Pakistan,PAK,177,70.24427931774167,63.72980562324624,6.514473694495429
Iran,IRN,174,71.04903230054893,67.20248224141828,3.8465500591306494
Hong Kong,HKG,172,83.72611402272308,67.6146715576982,16.11144246502488
Poland,POL,159,68.75028948164494,53.24304164322381,15.50724783842113
Cambodia,KHM,158,39.026897746562675,30.927125052211398,8.099772694351277
