cps_code,cps_name,iso3,display_name,wb_ba_pct,wb_year,bl_ter_2010,bl_ter_1990,bl_ter_1980,origin_ba_pref,origin_ba_source,refugee_origin,mex_centam
057,United States,USA,United States,37.66,2022,30.94,25.07,18.12,37.66,WB 2022,0,0
060,American Samoa,ASM,American Samoa,,,,,,,,0,0
066,Guam,GUM,Guam,,,,,,,,0,0
069,Northern Marianas,MNP,Northern Marianas,,,,,,,,0,0
073,Puerto Rico,PRI,Puerto Rico,29.84,2022,,,,29.84,WB 2022,0,0
078,U. S. Virgin Islands,VIR,U. S. Virgin Islands,,,,,,,,0,0
100,Albania,ALB,Albania,19.83,2022,0.99,4.05,2.99,19.83,WB 2022,0,0
102,Austria,AUT,Austria,14.88,2021,11.53,3.92,2.15,14.88,WB 2021,0,0
103,Belgium,BEL,Belgium,36.31,2022,20.27,12.57,7.87,36.31,WB 2022,0,0
104,Bulgaria,BGR,Bulgaria,26.01,2022,16.1,10.65,8.29,26.01,WB 2022,0,0
105,Czechoslovakia,CZE,Czech Republic,22.29,2022,8.61,7.86,3.55,22.29,WB 2022,0,0
106,Denmark,DNK,Denmark,33.08,2022,18.97,11.05,8.45,33.08,WB 2022,0,0
108,Finland,FIN,Finland,28.86,2022,15.06,7.53,6.72,28.86,WB 2022,0,0
109,France,FRA,France,23.59,2022,12.12,6.18,4.57,23.59,WB 2022,0,0
110,Germany,DEU,Germany,29.58,2022,16.08,8.48,4.51,29.58,WB 2022,0,0
116,Greece,GRC,Greece,28.93,2022,24.85,9.77,7.17,28.93,WB 2022,0,0
117,Hungary,HUN,Hungary,24.66,2022,17.65,9.71,6.91,24.66,WB 2022,0,0
118,Iceland,ISL,Iceland,34.24,2022,18.32,7.88,5.04,34.24,WB 2022,0,0
119,Ireland,IRL,Ireland,38.43,2022,30.27,9.8,5.18,38.43,WB 2022,0,0
120,Italy,ITA,Italy,16.49,2022,8.04,3.89,2.68,16.49,WB 2022,0,0
126,Netherlands,NLD,Netherlands,36.39,2022,19.12,11.05,7.04,36.39,WB 2022,0,0
127,Norway,NOR,Norway,31.67,2022,15.26,9.15,5.28,31.67,WB 2022,0,0
128,Poland,POL,Poland,27.72,2021,13.98,4.54,3.71,27.72,WB 2021,0,0
129,Portugal,PRT,Portugal,23.12,2022,3.67,3.41,1.62,23.12,WB 2022,0,0
130,Azores,PRT,Portugal,23.12,2022,3.67,3.41,1.62,23.12,WB 2022,0,0
132,Romania,ROU,Romania,15.28,2022,8.05,4.67,3.05,15.28,WB 2022,0,0
134,Spain,ESP,Spain,24.15,2022,17.01,5.45,4.64,24.15,WB 2022,0,0
136,Sweden,SWE,Sweden,33.66,2022,18.64,12.28,9.41,33.66,WB 2022,0,0
137,Switzerland,CHE,Switzerland,39.95,2022,22.01,9.83,7.18,39.95,WB 2022,0,0
138,United Kingdom,GBR,United Kingdom,39.59,2021,18.78,9.85,6.47,39.59,WB 2021,0,0
139,England,GBR,United Kingdom,39.59,2021,18.78,9.85,6.47,39.59,WB 2021,0,0
140,Scotland,GBR,United Kingdom,39.59,2021,18.78,9.85,6.47,39.59,WB 2021,0,0
142,Northern Ireland,GBR,United Kingdom,39.59,2021,18.78,9.85,6.47,39.59,WB 2021,0,0
147,Yugoslavia,SRB,Serbia,24.85,2022,,,,24.85,WB 2022,1,0
148,Czech Republic,CZE,Czech Republic,22.29,2022,8.61,7.86,3.55,22.29,WB 2022,0,0
149,Slovakia,SVK,Slovakia,25.77,2022,9.13,5.43,3.54,25.77,WB 2022,0,0
150,Bosnia & Herzegovina,BIH,Bosnia & Herzegovina,12.29,2022,,,,12.29,WB 2022,1,0
151,Croatia,HRV,Croatia,19.69,2022,12.46,4.3,3.33,19.69,WB 2022,1,0
152,Macedonia,MKD,Macedonia,19.82,2022,,,,19.82,WB 2022,1,0
154,Serbia,SRB,Serbia,24.85,2022,,,,24.85,WB 2022,1,0
155,Estonia,EST,Estonia,32.66,2022,23.67,9.26,7.03,32.66,WB 2022,0,0
156,Latvia,LVA,Latvia,32.57,2022,12.23,9.06,7.0,32.57,WB 2022,0,0
157,Lithuania,LTU,Lithuania,41.41,2022,19.93,8.5,6.06,41.41,WB 2022,0,0
158,Armenia,ARM,Armenia,27.83,2022,14.48,12.6,10.75,27.83,WB 2022,1,0
159,Azerbaijan,AZE,Azerbaijan,15.72,2019,,,,15.72,WB 2019,1,0
160,Belarus,BLR,Belarus,28.3,2019,,,,28.3,WB 2019,1,0
161,Georgia,GEO,Georgia,34.02,2022,,,,34.02,WB 2022,1,0
162,Moldova,MDA,Moldova,20.39,2022,,,,20.39,WB 2022,1,0
163,Russia,RUS,Russia,41.22,2021,25.87,14.26,6.57,41.22,WB 2021,1,0
164,Ukraine,UKR,Ukraine,34.75,2019,27.14,14.13,6.64,34.75,WB 2019,1,0
165,USSR,RUS,Russia,41.22,2021,25.87,14.26,6.57,41.22,WB 2021,1,0
166,"Europe, not specified",,"Europe, not specified",,,,,,,,0,0
168,Montenegro,MNE,Montenegro,19.58,2020,,,,19.58,WB 2020,1,0
200,Afghanistan,AFG,Afghanistan,3.98,2022,5.51,3.7,1.9,3.98,WB 2022,1,0
202,Bangladesh,BGD,Bangladesh,7.57,2022,3.06,1.6,0.82,7.57,WB 2022,0,0
