origin,iso3,n2,share_ba_2ndgen,fitted,resid
Mexico,MEX,10174,21.987314478400048,22.397009297062645,-0.40969481866259727
Philippines,PHL,1431,55.43146124768204,61.329850378650946,-5.8983891309689085
Germany,DEU,852,46.60837951257089,51.4957196305782,-4.887340118007309
India,IND,786,84.91338950070508,85.12407863102085,-0.21068913031577097
El Salvador,SLV,735,30.930797020673346,27.966744286280374,2.964052734392972
China,CHN,722,78.44213826350588,72.3651820734259,6.076956190079983
Vietnam,VNM,721,63.08913755580291,52.915311846068235,10.173825709734672
Canada,CAN,716,51.67502036089334,57.024053747230646,-5.349033386337304
Korea,KOR,663,65.49107264418545,59.35058958009295,6.1404830640925
United Kingdom,GBR,651,55.661747896908366,53.689710159995435,1.972037736912931
Cuba,CUB,585,48.15331168415832,50.97395406119041,-2.820642377032094
Dominican Republic,DOM,572,36.95560565037632,40.44722681109448,-3.491621160718161
Japan,JPN,433,61.50164456557605,64.57535454707623,-3.07370998150018
Guatemala,GTM,430,28.179375357036935,28.66268292448249,-0.4833075674455536
Columbia,COL,363,48.16988358842004,55.022316135481866,-6.852432547061824
Italy,ITA,357,65.22019809082605,54.17854542303906,11.041652667786984
Jamaica,JAM,315,50.59354092668876,50.53953383977495,0.054007086913813396
Laos,LAO,302,34.27932232227269,47.24167402970639,-12.962351707433697
Taiwan,TWN,272,83.2761183962688,86.42230053784296,-3.146182141574158
Portugal,PRT,243,59.1227305569616,37.35303245875117,21.769698098210426
Haiti,HTI,242,44.77197640684865,47.33441674610873,-2.5624403392600783
Ecuador,ECU,223,45.570721936830594,43.00467096908222,2.5660509677483745
Peru,PER,206,44.627694004775584,50.4809020005758,-5.8532079958002186
Honduras,HND,178,38.50285902403631,26.15747374709308,12.345385276943233
Pakistan,PAK,177,70.24427931774167,69.5886125575963,0.6556667601453654
Iran,IRN,174,71.04903230054893,73.19206794264453,-2.1430356420955974
Hong Kong,HKG,172,83.72611402272308,70.23278131772331,13.493332704999773
Poland,POL,159,68.75028948164494,49.273848019165484,19.476441462479457
Cambodia,KHM,158,39.026897746562675,47.87331628317867,-8.846418536615992
