origin,iso3,n2,share_ba_2ndgen,fitted,resid
Mexico,MEX,10174,21.987314478400048,40.572361590611784,-18.585047112211736
Philippines,PHL,1431,55.43146124768204,40.84426568086832,14.587195566813719
Germany,DEU,852,46.60837951257089,43.71297855972163,2.895400952849265
India,IND,786,84.91338950070508,39.362513115617126,45.55087638508795
El Salvador,SLV,735,30.930797020673346,38.437041395569665,-7.506244374896319
China,CHN,722,78.44213826350588,38.249951425209666,40.192186838296216
Vietnam,VNM,721,63.08913755580291,39.20785207345286,23.881285482350044
Canada,CAN,716,51.67502036089334,44.403964183584556,7.271056177308786
Korea,KOR,663,65.49107264418545,44.95026689703575,20.540805747149697
United Kingdom,GBR,651,55.661747896908366,46.21000603079308,9.451741866115285
Cuba,CUB,585,48.15331168415832,40.158269122881656,7.995042561276662
Dominican Republic,DOM,572,36.95560565037632,39.91629942788272,-2.9606937775063997
Japan,JPN,433,61.50164456557605,42.70518725271577,18.796457312860284
Guatemala,GTM,430,28.179375357036935,37.75353937052114,-9.574164013484204
Columbia,COL,363,48.16988358842004,40.37529348849925,7.794590099920789
Italy,ITA,357,65.22019809082605,40.44763494370512,24.772563147120927
Jamaica,JAM,315,50.59354092668876,39.06566369597926,11.5278772307095
Laos,LAO,302,34.27932232227269,37.62881272361447,-3.3494904013417823
Taiwan,TWN,272,83.2761183962688,38.48194298845606,44.79417540781274
Portugal,PRT,243,59.1227305569616,42.10151028168751,17.02122027527409
Haiti,HTI,242,44.77197640684865,37.46417354969767,7.307802857150982
Ecuador,ECU,223,45.570721936830594,39.427370972008596,6.143350964821998
Peru,PER,206,44.627694004775584,40.39275521906619,4.234938785709396
Honduras,HND,178,38.50285902403631,38.73638534814567,-0.2335263241093557
Pakistan,PAK,177,70.24427931774167,38.81122133628966,31.43305798145201
Iran,IRN,174,71.04903230054893,40.74697889628112,30.30205340426781
Hong Kong,HKG,172,83.72611402272308,40.01857527834619,43.70753874437689
Poland,POL,159,68.75028948164494,43.248995433228835,25.501294048416106
Cambodia,KHM,158,39.026897746562675,37.47165714851207,1.5552405980506023
